Tamano,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
5000,23657,12095.3,23805.3,12352.6,26383.5,26171.3,25581.7,24692.8,26161,27158.3,29042.3,27431.7,29216.9,27967.1,31958,28474.8,28026.4,30204.2
10000,46666.3,22042.3,45877.2,22974.1,53840.7,49057.6,48675.2,48757.8,53080.2,55382.2,55220.8,54006.1,52382.5,56226.1,55427.4,56852.8,55328.6,57887.5
15000,69582.2,34807.6,69813.3,34129.3,67768.7,69658,77992.9,82269.2,83730.9,74823.9,85243.4,83877.5,78616.5,77654.8,79773.9,84257.4,86789.6,84476.2
20000,95766.6,46478.9,88147.3,52989.9,110765,92185.2,105660,101813,115130,103567,113308,114126,116957,110861,110655,109766,112380,109920
25000,110544,60419.3,109628,61352.7,128960,127042,129135,128265,138954,129255,137623,139801,139375,140347,139121,139424,141050,140232
30000,131431,76689,128965,74754.5,146984,152082,157667,155404,157466,163113,172595,154084,177490,177483,163619,182737,166968,169441
35000,153729,81938.3,151662,84934.5,160506,171931,173747,176079,184814,177885,173767,182876,187841,198448,204299,203049,201926,193039
40000,192519,87709.2,178833,94041,186417,184537,200960,208401,212006,228760,208311,218900,225135,216272,226919,207799,218507,228732
45000,197357,109934,207872,100266,226449,232868,207010,236794,229906,231995,250593,240082,244471,230699,249031,258163,261874,246980
50000,224494,113945,220681,114112,229355,245021,243189,257691,259976,268155,260872,272627,262668,270762,269241,277084,269396,279002
55000,235161,119570,234884,126386,257063,248046,284504,271973,282185,276804,288486,278563,279168,293601,312555,286643,293588,295611
60000,255401,137661,262427,135651,265594,286717,293336,295810,313630,301070,305559,321474,317443,324004,310389,333925,321558,333271
65000,269723,151704,267863,152946,298242,307323,319617,319278,317482,310773,333312,343026,342973,340643,348446,334996,362789,333080
70000,298754,161358,322512,149396,310779,316243,354269,361956,355034,370672,355746,374309,373445,375139,371159,368321,368259,399813
